loss,val_loss,epoch
3415154176.0,3135894016.0,0
3207338496.0,2960326656.0,1
3031731200.0,2868176384.0,2
2904811008.0,2800985344.0,3
2760581120.0,2712960256.0,4
2604853504.0,2573393152.0,5
2427795712.0,2454236672.0,6
2225422080.0,2349315328.0,7
2050085504.0,2191556864.0,8
1881555328.0,2051641600.0,9
1721469696.0,1981195264.0,10
1590415232.0,1788409856.0,11
1465951488.0,1756855808.0,12
1381078144.0,1584644736.0,13
1315190272.0,1534875520.0,14
1228151680.0,1439801984.0,15
1219892864.0,1367950464.0,16
1155896192.0,1289509376.0,17
1123378304.0,1256615680.0,18
1084922368.0,1203503744.0,19
1068497024.0,1169304960.0,20
1072912960.0,1097950720.0,21
1065101504.0,1072053568.0,22
1019068672.0,1056365952.0,23
994489664.0,1052415552.0,24
969702208.0,999808192.0,25
949356928.0,977101440.0,26
945577408.0,934950464.0,27
920323904.0,943949888.0,28
913805760.0,908395200.0,29
904534976.0,892065600.0,30
898012416.0,909204928.0,31
891899648.0,904907776.0,32
914604160.0,833461184.0,33
899652544.0,890269952.0,34
885383232.0,837168000.0,35
866203008.0,887540928.0,36
889816640.0,845099392.0,37
852084800.0,838710080.0,38
864826688.0,842723456.0,39
882315328.0,799404928.0,40
826695744.0,845546496.0,41
865861760.0,841546048.0,42
843284608.0,839593728.0,43
859485952.0,773667712.0,44
830194240.0,781329024.0,45
838707392.0,786051520.0,46
834337344.0,806973056.0,47
790534912.0,765931648.0,48
848937536.0,755867648.0,49
797221568.0,769876096.0,50
842875264.0,764331456.0,51
861067328.0,740384000.0,52
798143232.0,737867392.0,53
799964160.0,717701248.0,54
784946560.0,716501120.0,55
784637760.0,755063744.0,56
776044288.0,726376128.0,57
787850240.0,733629760.0,58
742622400.0,703853312.0,59
776285760.0,729614208.0,60
746557888.0,681700160.0,61
789198464.0,671866048.0,62
775566976.0,663648256.0,63
751095744.0,656016576.0,64
760713792.0,630071296.0,65
752055040.0,633148608.0,66
713018624.0,711332928.0,67
714797760.0,643125440.0,68
729321344.0,627717056.0,69
745849280.0,616774592.0,70
754343040.0,589028608.0,71
724384896.0,682688640.0,72
749603136.0,643004800.0,73
710356480.0,571782336.0,74
803016384.0,575968064.0,75
721563840.0,576358464.0,76
727034624.0,584861248.0,77
697099712.0,561256960.0,78
718041408.0,553915904.0,79
683268096.0,654875840.0,80
736023296.0,579554624.0,81
690536128.0,621484544.0,82
701018368.0,701220992.0,83
697078976.0,594508416.0,84
655769344.0,594913792.0,85
714786432.0,582598464.0,86
672818304.0,562392576.0,87
673322432.0,619014528.0,88
680044160.0,600889664.0,89
663167488.0,587570112.0,90
671290112.0,527898432.0,91
671436352.0,505834496.0,92
657531520.0,567692736.0,93
656528768.0,585015488.0,94
672230144.0,570743040.0,95
659424576.0,632768448.0,96
666287744.0,486345216.0,97
648016192.0,621802944.0,98
658560640.0,538894528.0,99
658372416.0,520602560.0,100
649673152.0,487340192.0,101
639796800.0,536959424.0,102
623042112.0,646076224.0,103
643576320.0,487369184.0,104
654017152.0,663897856.0,105
664077248.0,610067072.0,106
648517376.0,484969440.0,107
608245440.0,535605568.0,108
663152704.0,489369216.0,109
644751808.0,536647392.0,110
616223296.0,497353728.0,111
611277312.0,487445504.0,112
621336384.0,517388544.0,113
600321728.0,538419392.0,114
597050752.0,447028064.0,115
632869568.0,425706592.0,116
622412480.0,461303424.0,117
586495424.0,444496800.0,118
603227840.0,498855904.0,119
585723136.0,503356544.0,120
582206592.0,402806848.0,121
589122112.0,396153344.0,122
578058304.0,492081216.0,123
605454400.0,590902784.0,124
621036736.0,557315520.0,125
605598144.0,486229280.0,126
571704448.0,427006336.0,127
578406592.0,439534272.0,128
550913472.0,424311776.0,129
603722048.0,358094272.0,130
577625216.0,456792544.0,131
577690048.0,462900032.0,132
563113088.0,356403424.0,133
548035840.0,425720192.0,134
580648640.0,432902944.0,135
557555392.0,449509728.0,136
566384896.0,507512704.0,137
549024896.0,378798784.0,138
521238080.0,510270112.0,139
565918144.0,436744544.0,140
545472960.0,425048384.0,141
553489280.0,412509856.0,142
556808384.0,448571616.0,143
567205184.0,403104672.0,144
555218624.0,409901056.0,145
530186592.0,512234816.0,146
570964416.0,427351168.0,147
564403584.0,383372192.0,148
529880192.0,338857856.0,149
559568192.0,381801920.0,150
522167360.0,362132416.0,151
523487808.0,326370848.0,152
520194208.0,384319872.0,153
540758208.0,382217312.0,154
525297408.0,384534048.0,155
528447776.0,327514144.0,156
539794112.0,339889824.0,157
498609248.0,328882816.0,158
527430880.0,363392800.0,159
504095648.0,361435424.0,160
501073856.0,402586432.0,161
516835136.0,352069216.0,162
500094240.0,325929440.0,163
524108800.0,336202944.0,164
520789984.0,305771712.0,165
496573792.0,315982976.0,166
501135104.0,398862400.0,167
499150432.0,307781760.0,168
481020128.0,286796128.0,169
499796896.0,358164416.0,170
498271744.0,338413536.0,171
485529344.0,302110048.0,172
487979648.0,405601696.0,173
485710176.0,317100160.0,174
466671392.0,304547712.0,175
475498848.0,371797536.0,176
466109696.0,311249536.0,177
464100416.0,350193632.0,178
456915936.0,308998208.0,179
