loss,val_loss,epoch
3418113536.0,3132687360.0,0
3017622528.0,2874678016.0,1
2822976256.0,2752225024.0,2
2692670720.0,2684748800.0,3
2534639872.0,2511418624.0,4
2371194880.0,2351068416.0,5
2145305600.0,2260427520.0,6
1942958592.0,2037410944.0,7
1732522624.0,1869978624.0,8
1579396864.0,1747021184.0,9
1465712000.0,1599379072.0,10
1342328192.0,1494911360.0,11
1233521152.0,1396972672.0,12
1135820160.0,1328945536.0,13
1109042560.0,1199591552.0,14
1023318272.0,1144179968.0,15
941540608.0,1081112576.0,16
903927872.0,1086754304.0,17
901320512.0,963622400.0,18
854259200.0,948412352.0,19
808351360.0,875832960.0,20
778424128.0,822966016.0,21
763327872.0,796992768.0,22
731293440.0,806916032.0,23
704380800.0,749334016.0,24
706506624.0,729327040.0,25
688719424.0,736489344.0,26
680006528.0,698723520.0,27
656684416.0,636475008.0,28
628342208.0,646239488.0,29
603619328.0,628226112.0,30
617338752.0,586328960.0,31
600712064.0,620396736.0,32
600855808.0,537976768.0,33
579757184.0,546604672.0,34
579633024.0,525525152.0,35
587934912.0,516139872.0,36
567276480.0,490483232.0,37
552345088.0,461668160.0,38
535525632.0,516015456.0,39
540744896.0,503350144.0,40
594059776.0,463450272.0,41
538194560.0,463280512.0,42
531948768.0,454331104.0,43
548555968.0,440168384.0,44
543897472.0,393895616.0,45
536083328.0,379387168.0,46
558756928.0,373835424.0,47
544910848.0,341655520.0,48
528625600.0,349730848.0,49
513803904.0,338634144.0,50
484800576.0,340302880.0,51
486254208.0,351592320.0,52
468603264.0,362373376.0,53
474153184.0,319172128.0,54
484501632.0,303825952.0,55
470917952.0,329266752.0,56
474912672.0,306217248.0,57
470864352.0,333284160.0,58
464324384.0,309620000.0,59
450269088.0,315292256.0,60
481197888.0,331223232.0,61
432396160.0,318102176.0,62
466688832.0,283097376.0,63
458733760.0,299025664.0,64
472357568.0,299974208.0,65
444361792.0,344406848.0,66
438877568.0,276434656.0,67
419941472.0,293197792.0,68
461849248.0,258532752.0,69
424292960.0,248702496.0,70
425059328.0,390317024.0,71
463304960.0,377468352.0,72
456538912.0,324934528.0,73
430692896.0,282063104.0,74
385809824.0,381011168.0,75
445837024.0,301701760.0,76
458826720.0,259435424.0,77
446453696.0,287269728.0,78
416725088.0,262348816.0,79
408248256.0,237090816.0,80
429226112.0,222583088.0,81
412861088.0,296537120.0,82
395088608.0,398708160.0,83
408747424.0,258171536.0,84
414688992.0,259089408.0,85
406946720.0,315376672.0,86
398310240.0,247631664.0,87
380295264.0,240984640.0,88
392750304.0,230295936.0,89
410793344.0,250094448.0,90
371599488.0,309208960.0,91
414852576.0,321318432.0,92
398568384.0,322985152.0,93
398520032.0,240044640.0,94
366780704.0,205147840.0,95
386354912.0,235026064.0,96
400950144.0,319306304.0,97
401548128.0,227311408.0,98
380225632.0,221410592.0,99
365652320.0,244544240.0,100
366798048.0,223928000.0,101
360467232.0,392750304.0,102
394257216.0,233104768.0,103
375016992.0,246388368.0,104
377365344.0,222256576.0,105
358964512.0,284591744.0,106
369931648.0,258693200.0,107
352317952.0,262839664.0,108
383322080.0,225320912.0,109
359550816.0,286586336.0,110
362164832.0,263928336.0,111
388728416.0,226672976.0,112
351726912.0,296353408.0,113
333955840.0,230526288.0,114
365670592.0,222190912.0,115
378598464.0,230645264.0,116
357440864.0,246200224.0,117
331387840.0,200716496.0,118
369776576.0,275018336.0,119
355058112.0,237036448.0,120
419769024.0,326024032.0,121
326890176.0,285175328.0,122
359211616.0,238915760.0,123
363927424.0,211184064.0,124
339761248.0,287031520.0,125
371677472.0,236144912.0,126
332219808.0,243610496.0,127
318779616.0,239429024.0,128
348344032.0,232220016.0,129
360233792.0,290244896.0,130
322537248.0,212158512.0,131
348373952.0,240696736.0,132
384186432.0,305368864.0,133
320165760.0,259167024.0,134
346431616.0,210153120.0,135
318187104.0,227008928.0,136
337471328.0,248882720.0,137
318493184.0,255809472.0,138
325805088.0,246321584.0,139
319740800.0,407320960.0,140
322906464.0,255584448.0,141
327696032.0,230812176.0,142
303570912.0,248395504.0,143
306322016.0,209891184.0,144
327884864.0,230103504.0,145
303786624.0,229953520.0,146
352649248.0,215708656.0,147
308028832.0,336128384.0,148
373804576.0,332793216.0,149
344706592.0,305112512.0,150
299536640.0,272265152.0,151
294200928.0,223151056.0,152
336697248.0,290441504.0,153
295667360.0,242669584.0,154
288086368.0,298977824.0,155
290458752.0,265202000.0,156
292805440.0,279878240.0,157
290806240.0,294100640.0,158
301707520.0,257741232.0,159
286799072.0,356137472.0,160
299486912.0,231616256.0,161
320906880.0,322823360.0,162
299136832.0,326809728.0,163
288638720.0,287273696.0,164
288946464.0,429790656.0,165
331113216.0,289371232.0,166
304759296.0,300237376.0,167
278681056.0,387607456.0,168
283254400.0,258852336.0,169
290679616.0,312716992.0,170
298834112.0,377699584.0,171
278990240.0,225124832.0,172
312129376.0,529527840.0,173
293189376.0,225837664.0,174
276057248.0,256859952.0,175
294352320.0,401328832.0,176
275845504.0,297974720.0,177
287176480.0,236242944.0,178
267770784.0,474615744.0,179
304073856.0,267940864.0,180
291790464.0,377841856.0,181
302861536.0,618466176.0,182
271004384.0,220650320.0,183
267957264.0,300627968.0,184
269630496.0,351446144.0,185
275751936.0,246348736.0,186
288886720.0,327719936.0,187
256932192.0,253675488.0,188
250515296.0,325022432.0,189
268254560.0,343568320.0,190
268016544.0,543225088.0,191
269802624.0,292335168.0,192
262744944.0,475837568.0,193
276287360.0,245741712.0,194
296676448.0,301133536.0,195
278522016.0,363080608.0,196
258074384.0,381616608.0,197
284936576.0,229084864.0,198
257317712.0,297563584.0,199
246254640.0,268285680.0,200
238804512.0,333332864.0,201
262485088.0,298134336.0,202
253476144.0,376801376.0,203
293999040.0,621860224.0,204
300328352.0,482422336.0,205
255508864.0,301786368.0,206
248186736.0,239201168.0,207
244749568.0,518053888.0,208
247272416.0,326481632.0,209
256482304.0,381931552.0,210
239406832.0,279766080.0,211
254242016.0,297526944.0,212
238808096.0,265370032.0,213
248356400.0,382087808.0,214
252843584.0,295682752.0,215
252010768.0,241800864.0,216
272814688.0,519081472.0,217
299919328.0,327401632.0,218
235139552.0,233358224.0,219
245748768.0,294272416.0,220
243175632.0,317287808.0,221
240135744.0,307959488.0,222
245157776.0,281900192.0,223
241836864.0,283575488.0,224
285220064.0,751013248.0,225
248770704.0,355366944.0,226
240550720.0,349920960.0,227
244224048.0,336154080.0,228
250668416.0,297519296.0,229
252197712.0,466679840.0,230
269006688.0,297202976.0,231
243140512.0,402907520.0,232
229812032.0,299898976.0,233
226386944.0,342576448.0,234
237074352.0,465816064.0,235
270655392.0,346619232.0,236
230123456.0,278131296.0,237
226155728.0,377576032.0,238
247125376.0,335506240.0,239
230668496.0,437456608.0,240
230835088.0,270769152.0,241
228943120.0,420769504.0,242
235780160.0,340514080.0,243
217945856.0,451401248.0,244
217390672.0,410524576.0,245
271724032.0,256890432.0,246
245167888.0,395563680.0,247
231250752.0,357835808.0,248
230281824.0,271912512.0,249
247269104.0,771411456.0,250
255642000.0,341237440.0,251
216840272.0,467588864.0,252
210684352.0,431504416.0,253
217456320.0,404642432.0,254
225019504.0,477140672.0,255
240315792.0,275385504.0,256
274686784.0,284908032.0,257
226940624.0,297250944.0,258
218440800.0,380778304.0,259
220404912.0,267543584.0,260
224502576.0,413571104.0,261
220655664.0,476840064.0,262
213434992.0,278418048.0,263
216474704.0,274027168.0,264
210322864.0,331457792.0,265
220464400.0,395963072.0,266
202291040.0,342093536.0,267
206210512.0,494307392.0,268
221141840.0,433097120.0,269
