error,Model
2185.157470703125,DNN-1
-265.927978515625,DNN-1
-927.030029296875,DNN-1
-26194.014404296875,DNN-1
-510.48779296875,DNN-1
-1378.997802734375,DNN-1
-997.940185546875,DNN-1
-1487.31103515625,DNN-1
218.4561767578125,DNN-1
-26827.249267578125,DNN-1
-9626.440185546875,DNN-1
-672.8531494140625,DNN-1
-99528.94506835938,DNN-1
-534.5908203125,DNN-1
-41101.36267089844,DNN-1
-3105.415283203125,DNN-1
156.618896484375,DNN-1
757.109130859375,DNN-1
-531.507080078125,DNN-1
-75211.87573242188,DNN-1
850.803466796875,DNN-1
1052.421630859375,DNN-1
974.917724609375,DNN-1
-1434.63232421875,DNN-1
-91894.4765625,DNN-1
-1415.622314453125,DNN-1
-14169.3046875,DNN-1
402.6861572265625,DNN-1
892.0997314453125,DNN-1
104.779541015625,DNN-1
607.2010498046875,DNN-1
8258.916015625,DNN-1
-290.6964111328125,DNN-1
960.679443359375,DNN-1
1778.555419921875,DNN-1
1078.4345703125,DNN-1
-336.429931640625,DNN-1
-2147.14794921875,DNN-1
4144.36328125,DNN-1
1119.2783203125,DNN-1
1179.998046875,DNN-1
-703.254150390625,DNN-1
-1250.8271484375,DNN-1
-1268.290771484375,DNN-1
234.115966796875,DNN-1
3939.6015625,DNN-1
-982.076904296875,DNN-1
548.146240234375,DNN-1
342.0185546875,DNN-1
-2739.647705078125,DNN-1
1342.871337890625,DNN-1
1097.390625,DNN-1
1401.736083984375,DNN-1
312.30615234375,DNN-1
323.4571533203125,DNN-1
774.824462890625,DNN-1
820.4976806640625,DNN-1
1288.687255859375,DNN-1
5656.7412109375,DNN-1
-743.372314453125,DNN-1
468.4998779296875,DNN-1
-9521.817138671875,DNN-1
1523.565673828125,DNN-1
387.96826171875,DNN-1
547.8125,DNN-1
162.874267578125,DNN-1
-267.4195556640625,DNN-1
-525.4820556640625,DNN-1
-3820.819091796875,DNN-1
587.870361328125,DNN-1
792.579833984375,DNN-1
-25044.78955078125,DNN-1
799.074951171875,DNN-1
1506.952392578125,DNN-1
843.258544921875,DNN-1
1452.927001953125,DNN-1
430.21533203125,DNN-1
-19257.615234375,DNN-1
1295.148681640625,DNN-1
-29779.648681640625,DNN-1
599.3077392578125,DNN-1
1762.915771484375,DNN-1
340.36474609375,DNN-1
106.85791015625,DNN-1
29279.88671875,DNN-1
517.575927734375,DNN-1
1592.390380859375,DNN-1
1754.019287109375,DNN-1
-961.531982421875,DNN-1
50.3988037109375,DNN-1
334.80615234375,DNN-1
-507.962890625,DNN-1
1032.474853515625,DNN-1
9021.91796875,DNN-1
-2453.20703125,DNN-1
517.386962890625,DNN-1
-88941.2421875,DNN-1
-10.866455078125,DNN-1
-3285.666259765625,DNN-1
-1647.490478515625,DNN-1
-55507.614501953125,DNN-1
47.4326171875,DNN-1
310.52490234375,DNN-1
36.30078125,DNN-1
77.659423828125,DNN-1
-6577.845703125,DNN-1
-27449.93359375,DNN-1
-5734.08154296875,DNN-1
130.73779296875,DNN-1
852.90087890625,DNN-1
775.23193359375,DNN-1
-27067.90087890625,DNN-1
-1912.1240234375,DNN-1
-494.8173828125,DNN-1
817.978759765625,DNN-1
-279.752685546875,DNN-1
-1684.60400390625,DNN-1
557.96923828125,DNN-1
-81056.66796875,DNN-1
61.819091796875,DNN-1
856.6533203125,DNN-1
-1473.020263671875,DNN-1
90.713623046875,DNN-1
-159.7578125,DNN-1
67.020263671875,DNN-1
1459.59375,DNN-1
1863.140625,DNN-1
-1400.989990234375,DNN-1
-1850.1552734375,DNN-1
-5253.0,DNN-1
-4185.5325927734375,DNN-1
980.043701171875,DNN-1
1350.852294921875,DNN-1
-1251.9052734375,DNN-1
85.683349609375,DNN-1
-1177.322998046875,DNN-1
-6109.182861328125,DNN-1
-5373.65869140625,DNN-1
3817.4189453125,DNN-1
412.715087890625,DNN-1
67.78564453125,DNN-1
977.5435791015625,DNN-1
-1541.730712890625,DNN-1
850.8153076171875,DNN-1
411.018798828125,DNN-1
-52.411865234375,DNN-1
-472.0977783203125,DNN-1
-1586.82958984375,DNN-1
-2857.091796875,DNN-1
87.716064453125,DNN-1
-1587.9559326171875,DNN-1
278.413330078125,DNN-1
-1566.693115234375,DNN-1
-1143.02392578125,DNN-1
2308.9833984375,DNN-1
-800.61328125,DNN-1
-3492.612548828125,DNN-1
-15814.0556640625,DNN-1
195.786865234375,DNN-1
-30991.59765625,DNN-1
-2.691162109375,DNN-1
58.457275390625,DNN-1
-1043.4964599609375,DNN-1
-5685.302001953125,DNN-1
51.419677734375,DNN-1
-360.736083984375,DNN-1
-51.134033203125,DNN-1
1181.153076171875,DNN-1
439.268310546875,DNN-1
1775.093017578125,DNN-1
-3398.045654296875,DNN-1
-12.901123046875,DNN-1
402.619873046875,DNN-1
554.9306640625,DNN-1
268.3974609375,DNN-1
-935.5867919921875,DNN-1
-4523.292236328125,DNN-1
-3467.547607421875,DNN-1
703.468994140625,DNN-1
-1297.527587890625,DNN-1
620.571044921875,DNN-1
176.52734375,DNN-1
18.1937255859375,DNN-1
-51.0535888671875,DNN-1
-983.111083984375,DNN-1
-255.900634765625,DNN-1
-5134.363037109375,DNN-1
-226.806396484375,DNN-1
354.033935546875,DNN-1
11510.3671875,DNN-1
