error,Model
1803.19140625,DNN-2
383.904296875,DNN-2
-266.866943359375,DNN-2
668.1998291015625,DNN-2
10.5172119140625,DNN-2
-150.76318359375,DNN-2
510.95703125,DNN-2
-5042.362548828125,DNN-2
-5998.52783203125,DNN-2
-14.826904296875,DNN-2
454.1025390625,DNN-2
-549.7447509765625,DNN-2
-2352.683349609375,DNN-2
580.6029052734375,DNN-2
-2803.709716796875,DNN-2
-523.3372802734375,DNN-2
974.302490234375,DNN-2
1379.86962890625,DNN-2
638.5775146484375,DNN-2
-1127.9691162109375,DNN-2
-42927.4775390625,DNN-2
344.5992431640625,DNN-2
434.1043701171875,DNN-2
-508.946533203125,DNN-2
472.001708984375,DNN-2
482.118408203125,DNN-2
-6234.4603271484375,DNN-2
-18678.0390625,DNN-2
392.1201171875,DNN-2
-72.86181640625,DNN-2
-1597.8082275390625,DNN-2
420.4775390625,DNN-2
842.6943359375,DNN-2
-11189.4814453125,DNN-2
1163.310546875,DNN-2
-166.6485595703125,DNN-2
-245.5904541015625,DNN-2
256.9183349609375,DNN-2
519.5836181640625,DNN-2
1451.2119140625,DNN-2
661.619140625,DNN-2
7240.064453125,DNN-2
-1172.5771484375,DNN-2
694.72802734375,DNN-2
988.270263671875,DNN-2
-380.9910888671875,DNN-2
171.5201416015625,DNN-2
-631.9105224609375,DNN-2
-8044.177734375,DNN-2
-8155.1304931640625,DNN-2
-177.2421875,DNN-2
206.0977783203125,DNN-2
271.2515869140625,DNN-2
786.213134765625,DNN-2
-95.84619140625,DNN-2
22879.06640625,DNN-2
-2064.5751953125,DNN-2
3499.13037109375,DNN-2
-4819.256103515625,DNN-2
181.471923828125,DNN-2
2266.91943359375,DNN-2
-2180.908447265625,DNN-2
-436.947021484375,DNN-2
997.02001953125,DNN-2
250.431640625,DNN-2
-12546.794677734375,DNN-2
-8946.336181640625,DNN-2
-309.195068359375,DNN-2
477.1300048828125,DNN-2
5850.0419921875,DNN-2
-33490.375,DNN-2
500.53271484375,DNN-2
-26801.134521484375,DNN-2
-5036.09912109375,DNN-2
-2101.315185546875,DNN-2
862.747314453125,DNN-2
-14099.241943359375,DNN-2
-28.362060546875,DNN-2
835.2734375,DNN-2
117891.75,DNN-2
-1463.391357421875,DNN-2
1808.820068359375,DNN-2
139.0858154296875,DNN-2
105.8648681640625,DNN-2
-494.6822509765625,DNN-2
1812.76708984375,DNN-2
-606.267578125,DNN-2
-93.8262939453125,DNN-2
-9067.71044921875,DNN-2
-752.094482421875,DNN-2
388.704833984375,DNN-2
4279.9287109375,DNN-2
1985.367919921875,DNN-2
