rmse,mae,mape,training_time,Model
21044.25421973889,6824.3619609754915,0.5803209796608577,140.39983081817627,DNN-1
20907.54619981262,6755.6612671832645,0.5231435755481818,139.68318724632263,DNN-1
26479.15738571944,7697.045278276716,0.6613603971822348,143.77737879753113,DNN-1
24426.009794207435,7312.7575739646445,0.6201744428492445,135.6117513179779,DNN-1
22243.581243180957,6907.378835094219,0.5372182409400349,133.47090601921082,DNN-1
22838.211432636122,7176.468202941272,0.5653228119406657,131.74917197227478,DNN-1
22505.691512823443,6910.958620499591,0.5670555194945773,119.62465786933899,DNN-1
18991.751445032787,6452.386826340033,0.5724695209137587,122.65902829170227,DNN-1
24075.544486173443,7271.8035245622905,0.5561123039940957,117.5790581703186,DNN-1
24580.84892619929,7534.161464613311,0.6446445610234081,123.47766828536987,DNN-1
27814.073496180372,7802.246980628189,0.6805777851488679,115.74472093582153,DNN-1
21787.959243478643,6866.439321712572,0.6368053231983662,111.67384743690491,DNN-1
23912.489860575984,7227.857252082046,0.6685202619781441,93.48457074165344,DNN-1
23836.991911072204,7185.318975331832,0.6760909784746578,107.78945422172546,DNN-1
25255.368608984845,7462.9217406292355,0.5865067318552631,113.19527697563171,DNN-1
23038.61488458983,7217.187505293866,0.5816889851656206,115.12750673294067,DNN-1
25528.821061561375,7450.230725580333,0.5818512430603933,100.90909481048584,DNN-1
24786.674349134435,7571.626615874621,0.5838096997272372,99.5603449344635,DNN-1
25563.62465847752,7515.477346848468,0.6542902880436786,120.55857992172241,DNN-1
27931.642411633024,7816.9183320026,0.5909034181442158,120.2441349029541,DNN-1
23892.93580704147,7232.840699176399,0.5980017765353758,114.15874147415161,DNN-1
21585.208725120512,6873.135970757932,0.6502635483302894,119.84737372398376,DNN-1
24074.111910172174,7373.143365509656,0.5511837394562121,119.02677345275879,DNN-1
21078.88662288962,6661.918427136479,0.5692451023781978,117.61360573768616,DNN-1
25096.154411739873,7294.235154366007,0.5252421498434686,118.43551325798035,DNN-1
20630.580149593512,6703.860213921995,0.636360589044481,122.11161279678345,DNN-1
21349.60428892056,6805.121856144497,0.5639211763052445,121.09463214874268,DNN-1
24395.520928597824,7508.892801868672,0.6869923495975109,124.84558963775635,DNN-1
22143.040669417667,6960.172972542899,0.5907362681782384,121.07707190513611,DNN-1
21371.506426840595,6921.4458769194935,0.7600574750848912,122.0606849193573,DNN-1
20959.845750867815,6975.87311709657,0.591875229932056,117.55814385414124,DNN-1
22771.672417415262,7044.201224735805,0.5162930911186397,118.43934369087219,DNN-1
21065.101799334883,6676.755079152633,0.642026517443069,120.4246461391449,DNN-1
23775.846991222483,7211.309943062918,0.6085300675399423,116.47486877441406,DNN-1
26349.135444999058,7603.605433172109,0.5530666171227286,117.47830963134766,DNN-1
24555.893959705427,7244.653587029905,0.584884404875322,110.69193053245544,DNN-1
21988.86708615662,6871.208766314448,0.5687339708578907,116.04525113105774,DNN-1
21304.55443164581,6853.741130595305,0.6199943846383089,117.07901287078857,DNN-1
22159.27211785459,6975.618789672852,0.6828842791828293,118.9165849685669,DNN-1
23789.034792509887,6996.280865182682,0.5711451615923278,119.88677787780762,DNN-1
22969.331722180672,7203.73722481241,0.5230890857476818,112.2506206035614,DNN-1
20795.87246265471,6779.734264607332,0.5377889908105138,117.04219317436218,DNN-1
22609.670294920757,7052.393510935258,0.6345525663143664,117.81916809082031,DNN-1
